web_scraper_order,web_scraper_start_url,category,category_href,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji,emoji_name,emoji_description
"1573512413-1379","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐍 Snake","https://emojipedia.org/snake/","🐍","Snake","A snake, a slithering reptile without limbs. Generally depicted as a yellowish-green snake facing left, with a long, coiled body and flicking a red, forked tongue.
May be used for various metaphorical senses of snake.
One of the 12 animals of the Chinese zodiac. May also be used in association with ⛎ Ophiuchus, the Serpent-Bearer, sometimes considered a 13th sign of the Western zodiac.
Samsung’s snake was previously facing forward.

Snake was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573488795-450","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇫🇯 Flag: Fiji","https://emojipedia.org/flag-for-fiji/","🇫🇯","🇯 Flag: Fiji","The flag for Fiji, which may show as the letters FJ on some platforms.
The Flag: Fiji emoji is a sequence of the 🇫 Regional Indicator Symbol Letter F and 🇯 Regional Indicator Symbol Letter J emojis.
These display as a single emoji on supported platforms.

Flag: Fiji was added to Emoji 1.0 in 2015."
"1573495202-647","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","⚛ Atom Symbol","https://emojipedia.org/atom-symbol/","⚛️","Atom Symbol","Atom Symbol was approved as part of Unicode 4.1 in 2005
and added to Emoji 1.0 in 2015."
"1573516902-1653","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","💁 Person Tipping Hand","https://emojipedia.org/information-desk-person/","💁","Person Tipping Hand","An information desk person, iconically represented in the Apple emoji artwork as a woman holding out her hand as if she were a waitress carrying an invisible tray of drinks.
Can be used for a variety of interpretations, such as sassiness or sarcasm. No gender is specified for this emoji, though the most common representation is as a woman.

Person Tipping Hand was approved as part of Unicode 6.0 in 2010
under the name “Information Desk Person”
and added to Emoji 1.0 in 2015."
"1573516213-1613","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👩‍🎨 Woman Artist","https://emojipedia.org/female-artist/","👩‍🎨","‍🎨 Woman Artist","The Woman Artist emoji is a sequence of the 👩 Woman and 🎨 Artist Palette emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Artist was added to Emoji 4.0 in 2016."
"1573493096-570","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","7️⃣ Keycap Digit Seven","https://emojipedia.org/keycap-digit-seven/","7️⃣","⃣ Keycap Digit Seven","The Keycap Digit Seven emoji is a sequence of the 7 Digit Seven and ⃣ Combining Enclosing Keycap emojis.
These display as a single emoji on supported platforms.

Keycap Digit Seven was approved as part of Unicode 3.0 in 1999
and added to Emoji 3.0 in 2016."
"1573501706-963","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🛸 Flying Saucer","https://emojipedia.org/flying-saucer/","🛸","Flying Saucer","A flying saucer, sometimes referred to as an Unidentified Flying Object (UFO). Shown on some platforms with an alien at the controls and/or a beam of light emitting from the base.

Flying Saucer was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573492952-565","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔡 Input Latin Lowercase","https://emojipedia.org/input-symbol-for-latin-small-letters/","🔡","Input Latin Lowercase","A symbol showing the lowercase letters a, b, c and d. Intended to be used on a software keyboard, or other input screen to toggle lowercase letter input.

Input Latin Lowercase was approved as part of Unicode 6.0 in 2010
under the name “Input Symbol for Latin Small Letters”
and added to Emoji 1.0 in 2015."
"1573493297-577","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","0️⃣ Keycap Digit Zero","https://emojipedia.org/keycap-digit-zero/","0️⃣","⃣ Keycap Digit Zero","The Keycap Digit Zero emoji is a sequence of the 0 Digit Zero and ⃣ Combining Enclosing Keycap emojis.
These display as a single emoji on supported platforms.

Keycap Digit Zero was approved as part of Unicode 3.0 in 1999
and added to Emoji 3.0 in 2016."
"1573507111-1158","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🏊‍♀️ Woman Swimming","https://emojipedia.org/woman-swimming/","🏊‍♀️","‍♀️ Woman Swimming","The female version of the 🏊 Swimmer emoji.
The Woman Swimming emoji is a sequence of the 🏊 Swimmer and ♀ Female Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Swimming was added to Emoji 4.0 in 2016."
"1573486657-362","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇲🇿 Flag: Mozambique","https://emojipedia.org/flag-for-mozambique/","🇲🇿","🇿 Flag: Mozambique","The flag for Mozambique, which may show as the letters MZ on some platforms.
The Flag: Mozambique emoji is a sequence of the 🇲 Regional Indicator Symbol Letter M and 🇿 Regional Indicator Symbol Letter Z emojis.
These display as a single emoji on supported platforms.

Flag: Mozambique was added to Emoji 1.0 in 2015."
"1573511014-1298","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🌪 Tornado","https://emojipedia.org/cloud-with-tornado/","🌪️","️ Tornado","A tornado, a destructive column of air. Depicted as a gray, funnel-shaped cloud, rotating in contact with the ground.
May be used as a weather icon to represent a tornado. May also be used to represent a metaphorical tornado (e.g., a powerful force or violent outburst).
Google’s tornado was previously blue and white. Microsoft and Samsung’s designs previously depicted tornadoes defending from a cumulus cloud.

Tornado was approved as part of Unicode 7.0 in 2014
 under the name “Cloud With Tornado”
and added to Emoji 1.0 in 2015."
"1573488739-425","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇭🇲 Flag: Heard & McDonald Islands","https://emojipedia.org/flag-for-heard-mcdonald-islands/","🇭🇲","🇲 Flag: Heard & McDonald Islands","The flag for  Heard & McDonald Islands, which may show as the letters HM on some platforms. This is the same flag as Australia.
The Flag: Heard & McDonald Islands emoji is a sequence of the 🇭 Regional Indicator Symbol Letter H and 🇲 Regional Indicator Symbol Letter M emojis.
These display as a single emoji on supported platforms.

Flag: Heard & McDonald Islands was added to Emoji 1.0 in 2015."
"1573504975-1080","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🎷 Saxophone","https://emojipedia.org/saxophone/","🎷","Saxophone","Saxophone was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517068-1700","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤳 Selfie","https://emojipedia.org/selfie/","🤳","Selfie","A mobile phone held up to take a selfie (photo of the person holding the phone or camera). Generally represented as a disembodied arm holding a mobile phone.

Selfie was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573517390-1756","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😡 Pouting Face","https://emojipedia.org/pouting-face/","😡","Pouting Face","A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as 😠 Angry Face on most platforms and may convey more intense degrees of anger, e.g., hate or rage.
Samsung’s design previously featured a yellow face with the anger symbol on its forehead. Microsoft’s design previously featured a yellow face with a more hurt expression.
Not to be confused with 🙎 Person With Pouting Face. This emoji also has a cat variant, 😾 Pouting Cat Face.


Pouting Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517263-1739","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😹 Cat With Tears of Joy","https://emojipedia.org/cat-face-with-tears-of-joy/","😹","Cat With Tears of Joy","A cartoon cat variant of 😂 Face With Tears of Joy. Depicted as yellow on major platforms.

Cat With Tears of Joy was approved as part of Unicode 6.0 in 2010
under the name “Cat Face With Tears of Joy”
and added to Emoji 1.0 in 2015."
"1573490865-491","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇦🇶 Flag: Antarctica","https://emojipedia.org/flag-for-antarctica/","🇦🇶","🇶 Flag: Antarctica","The flag for Antarctica, which may show as the letters AQ on some platforms.
The Flag: Antarctica emoji is a sequence of the 🇦 Regional Indicator Symbol Letter A and 🇶 Regional Indicator Symbol Letter Q emojis.
These display as a single emoji on supported platforms.

Flag: Antarctica was added to Emoji 1.0 in 2015."
"1573505225-1089","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🎰 Slot Machine","https://emojipedia.org/slot-machine/","🎰","Slot Machine","A gambling machine generally found in casinos. Shows three wheels with a lever to the side. Most platforms display three 7 digits on this emoji.

Slot Machine was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517056-1695","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👃 Nose","https://emojipedia.org/nose/","👃","Nose","A human nose. May be used to indicate smelling, or something that smells.

Nose was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573497487-733","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","💈 Barber Pole","https://emojipedia.org/barber-pole/","💈","Barber Pole","A pole spiraled with red, white, and blue stripes, as spins out front of a barbershop. Commonly used for various content concerning haircutting and hairstyling.
May also be associated with brothels in parts of Asia.

Barber Pole was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573486214-332","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇷🇴 Flag: Romania","https://emojipedia.org/flag-for-romania/","🇷🇴","🇴 Flag: Romania","The flag for Romania, which may show as the letters RO on some platforms.
The Flag: Romania emoji is a sequence of the 🇷 Regional Indicator Symbol Letter R and 🇴 Regional Indicator Symbol Letter O emojis.
These display as a single emoji on supported platforms.

Flag: Romania was added to Emoji 1.0 in 2015."
"1573508100-1193","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍼 Baby Bottle","https://emojipedia.org/baby-bottle/","🍼","Baby Bottle","A bottle of milk or formula, as or fed to a baby, with a bluish cap and rubber nipple or teat. Positioned upright or at a 45° angle, and filled to various levels, sometimes showing fill lines. Often used for newborns and childrearing. See also Breast-Feeding.

Baby Bottle was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512488-1392","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐦 Bird","https://emojipedia.org/bird/","🐦","Bird","A generic bird. Variously depicted as a blue or red bird, as a bluebird or cardinal, shown standing in full profile, or as a bird head. Both designs show the bird facing left.
May be used for a variety of wild and pet birds as well as for metaphorical senses of bird (e.g., birdie in golf).
Apple and WhatsApp’s designs feature a grayish bird head. Google, Samsung, and Facebook’s designs suggest a bluebird, Microsoft and Twitter’s a cardinal. Google’s bird previously resembled a canary, Samsung’s was previously green, and Microsoft and Twitter’s birds were once blue.


Bird was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573498009-772","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🚿 Shower","https://emojipedia.org/shower/","🚿","Shower","A silver shower head, streaming water to the left. Pressure level varies across platforms. 🧼 Soap not provided.
Commonly used for various content concerning bathing, washing, cleaning, and water. Shower heads are also featured in 🛁 Bathtub and 🛀 Person Taking a Bath.

Shower was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573487334-388","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇱🇹 Flag: Lithuania","https://emojipedia.org/flag-for-lithuania/","🇱🇹","🇹 Flag: Lithuania","The flag for Lithuania, which may show as the letters LT on some platforms.
The Flag: Lithuania emoji is a sequence of the 🇱 Regional Indicator Symbol Letter L and 🇹 Regional Indicator Symbol Letter T emojis.
These display as a single emoji on supported platforms.

Flag: Lithuania was added to Emoji 1.0 in 2015."
"1573515180-1576","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦹‍♂️ Man Supervillain","https://emojipedia.org/man-supervillain/","🦹‍♂️","‍♂️ Man Supervillain","The Man Supervillain emoji is a sequence of the 🦹 Supervillain and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Supervillain was added to Emoji 11.0 in 2018."
"1573503006-1010","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚞 Mountain Railway","https://emojipedia.org/mountain-railway/","🚞","Mountain Railway","A train and railway in the mountains. Displayed as a funicular in Microsoft’s artwork, or a regular train on other platforms.
Android displays this train front-facing, leaving a tunnel, which appears similarly to the metro emoji at small sizes.

Mountain Railway was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573493731-591","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","➿ Double Curly Loop","https://emojipedia.org/double-curly-loop/","➿","Double Curly Loop","Two curly loops, which represent a reel-to-reel tape recorder. Used as a symbol for voicemail on many phones.
A variation of this logo is used by Free Dial, a toll-free telephone number by NTT in Japan.

Double Curly Loop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512794-1451","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐵 Monkey Face","https://emojipedia.org/monkey-face/","🐵","Monkey Face","A friendly, cartoon-styled face of a monkey, looking straight ahead. Depicted as a brown-haired monkey with a tan or pinkish face, round ears, nostrils, and open-mouthed smile.
As with the full-bodied 🐒 Monkey, often used with a playful tone or for metaphorical senses of monkey.
One of the 12 animals of the Chinese zodiac. Available as an Apple Animoji.
Vendors implement the same or similar monkey face in their Three Wise Monkeys emojis: 🙈 See-No-Evil Monkey, 🙉 Hear-No-Evil Monkey, and 🙊 Speak-No-Evil Monkey.
Facebook’s monkey previously resembled 🐻 Bear Face.

Monkey Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573516987-1669","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👱‍♂️ Man: Blond Hair","https://emojipedia.org/blond-man/","👱‍♂️","‍♂️ Man: Blond Hair","The male version of the 👱 Person With Blond Hair emoji. Currently identical in appearance to the non-gendered base emoji
The Man: Blond Hair emoji is a sequence of the 👱 Person With Blond Hair and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man: Blond Hair was added to Emoji 4.0 in 2016."
"1573495089-643","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","☯ Yin Yang","https://emojipedia.org/yin-yang/","☯️","Yin Yang","Yin Yang was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
"1573503033-1011","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚝 Monorail","https://emojipedia.org/monorail/","🚝","Monorail","Similar to a train, but running on a single track. Monorails are often found at theme parks, or other tourist destinations.

Monorail was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573513222-1505","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍👧‍👦 Family: Man, Girl, Boy","https://emojipedia.org/family-man-girl-boy/","👨‍👧‍👦","‍👧‍👦 Family: Man, Girl, Boy","The Family: Man, Girl, Boy emoji is a sequence of the 👨 Man, 👧 Girl and 👦 Boy emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Family: Man, Girl, Boy was added to Emoji 4.0 in 2016."
"1573500225-911","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🎙 Studio Microphone","https://emojipedia.org/studio-microphone/","🎙️","️ Studio Microphone","A microphone, as used for radio broadcasting or studio recording. Most platforms depict a vintage, silver microphone, like the Shure Unidyne 55.
Commonly used for various content concerning radio, broadcasting, music, recording, and podcasts.
Not to be confused with the handheld 🎤 Microphone, associated with live singing.

Studio Microphone was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573511626-1320","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🌕 Full Moon","https://emojipedia.org/full-moon-symbol/","🌕","Full Moon","A full moon, the fifth phase of the eight phases of the moon, when it is completely lit. Depicts the moon as a full, gold or silver, cratered disc, completely illuminated by the sun.
May be used to represent the moon more generally, nighttime, outer space, and astronomy. May also be used to convey enchanting or eerie feelings. Commonly used during Halloween, associated with werewolves and Friday the 13th.
See also 🌝 Full Moon Face. Used as part of the Moon Emoji Creep meme.
Samsung’s design once resembled a full moon with stars and previously displayed as a full moon in a night sky with stars.

Full Moon was approved as part of Unicode 6.0 in 2010
under the name “Full Moon Symbol”
and added to Emoji 1.0 in 2015."
"1573493452-582","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","❗ Exclamation Mark","https://emojipedia.org/heavy-exclamation-mark-symbol/","❗","Exclamation Mark","Exclamation Mark was approved as part of Unicode 5.2 in 2009
under the name “Heavy Exclamation Mark Symbol”
and added to Emoji 1.0 in 2015."
"1573502619-996","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚚 Delivery Truck","https://emojipedia.org/delivery-truck/","🚚","Delivery Truck","Delivery Truck was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573484946-279","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇻🇮 Flag: U.S. Virgin Islands","https://emojipedia.org/flag-for-us-virgin-islands/","🇻🇮","🇮 Flag: U.S. Virgin Islands","The flag for US Virgin Islands, which may show as the letters VI on some platforms.
The Flag: U.S. Virgin Islands emoji is a sequence of the 🇻 Regional Indicator Symbol Letter V and 🇮 Regional Indicator Symbol Letter I emojis.
These display as a single emoji on supported platforms.

Flag: U.S. Virgin Islands was added to Emoji 1.0 in 2015."
"1573501651-961","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🌌 Milky Way","https://emojipedia.org/milky-way/","🌌","Milky Way","The Milky Way – a galaxy of billions of stars that includes our own solar system and planet earth.
Shown by many platforms as a night sky, with silhouettes of mountains or hills in the foreground.

Milky Way was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573494775-631","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","♍ Virgo","https://emojipedia.org/virgo/","♍","Virgo","The Virgo astrological sign in the Zodiac. This Zodiac Symbol represents a Maiden.

Virgo was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
"1573512309-1355","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🦟 Mosquito","https://emojipedia.org/mosquito/","🦟","Mosquito","A mosquito, a type of bloodsucking fly. Depicted as a brown or black mosquito on its six, long legs, with wings, long abdomen, and needle-like mouth. Variously shown from above or facing left.
May be used to represent various insects, other bugs and bug bites, and insect-borne diseases (e.g., malaria). May also be used for metaphorical pests.
Microsoft and Facebook’s mosquitoes have red abdomens, as filled with blood.

Mosquito was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573491012-496","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇦🇬 Flag: Antigua & Barbuda","https://emojipedia.org/flag-for-antigua-barbuda/","🇦🇬","🇬 Flag: Antigua & Barbuda","The Flag: Antigua & Barbuda emoji is a sequence of the 🇦 Regional Indicator Symbol Letter A and 🇬 Regional Indicator Symbol Letter G emojis.
These display as a single emoji on supported platforms.

Flag: Antigua & Barbuda was added to Emoji 1.0 in 2015."
"1573510569-1282","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🎋 Tanabata Tree","https://emojipedia.org/tanabata-tree/","🎋","Tanabata Tree","A Tanabata tree, a type of wish tree on which people hang wishes written on paper and other decorations during Tanabata, a Japanese festival celebrating two heavenly lovers. Depicted as one or two stalks of green bamboo, on which hangs one or more slips of paper, generally red.
Often used to represent various plants or as a green accent color.
Apple’s design includes a yellow star decoration. Microsoft’s design previously displayed a green branch with three, variously colored pieces of paper.

Tanabata Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512739-1440","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🦁 Lion","https://emojipedia.org/lion-face/","🦁","Lion","A friendly, cartoon-styled face of a lion—the large cat and king of the jungle—looking straight ahead. Depicted as a golden-yellow lion face with a light- or dark-brown mane, white muzzle, and neutral expression.
Often used with an affectionate tone. Does not have a full-bodied lion emoji counterpart. A lion is represented as ♌ Leo in the Western zodiac.
Available as an Apple Animoji.
Apple's lion previously featured a timid-looking expression.

Lion was approved as part of Unicode 8.0 in 2015
under the name “Lion Face”
and added to Emoji 1.0 in 2015."
"1573517591-1809","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😐 Neutral Face","https://emojipedia.org/neutral-face/","😐","Neutral Face","A yellow face with simple, open eyes and a flat, closed mouth. Intended to depict a neutral sentiment but often used to convey mild irritation and concern or a deadpan sense of humor.

Neutral Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573498693-838","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗳 Ballot Box With Ballot","https://emojipedia.org/ballot-box-with-ballot/","🗳️","️ Ballot Box With Ballot","A ballot box, as used to cast votes in an election. Depicted as a box, generally blue or gray, with a slot on top through which a paper ballot is being inserted. Many platforms display a cross mark or check mark on the ballot to indicate a vote, though Apple and Facebook leave theirs blank.
Commonly used for various content concerning voting and elections, especially in politics and government.

Ballot Box With Ballot was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573517136-1709","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤜 Right-Facing Fist","https://emojipedia.org/right-facing-fist/","🤜","Right-Facing Fist","A fist pointing right, which may be used in conjunction with the left-facing fist to complete a fist-bump gesture.

Right-Facing Fist was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573497965-768","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🧹 Broom","https://emojipedia.org/broom/","🧹","Broom","A traditional broom, as used for sweeping—or ridden by a witch. Shown at a 45° angle, with a wooden handle and yellow bristles at the lower left.
Commonly used for various content concerning cleaning, brushing, and figurative sweeps (e.g., in sports or awards). Not to be confused with 🖌️ Paintbrush.

Broom was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573517062-1697","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦶 Foot","https://emojipedia.org/foot/","🦶","Foot","A human foot shown with five toes and may include part or all of the ankle. Shown on Apple platforms as the sole of a foot.

Foot was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573503060-1012","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚊 Tram","https://emojipedia.org/tram/","🚊","Tram","A form of public transport on rails, usually found on streets in cities or other urban areas. For short or medium-length journeys.
Trams tend to be similar to light rail, with the difference being that they don’t tend to have their own dedicated tracks.
This emoji is generally shown as the front of the tram, on tracks. The intended usage of this emoji, instead of the tram car emoji is not clear.

Tram was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
